19:33:51,113,13,-122
19:33:51,113,14,-142
19:33:51,111,-3,-133
19:33:51,125,-19,-118
19:33:51,137,-20,-110
19:33:51,133,-19,-132
19:33:51,130,-20,-119
19:33:51,127,-3,-113
19:33:51,123,9,-131
19:33:52,110,7,-136
19:33:52,111,4,-127
19:33:52,115,13,-133
19:33:52,116,7,-140
19:33:52,118,-14,-128
19:33:52,131,-23,-112
19:33:52,136,-19,-118
19:33:52,129,-20,-119
19:33:52,128,-13,-119
19:33:52,125,5,-121
19:33:52,119,14,-141
19:33:52,107,7,-138
19:33:52,111,5,-128
19:33:52,117,8,-132
19:33:52,115,0,-138
19:33:52,125,-21,-121
19:33:52,136,-22,-110
19:33:52,135,-17,-119
19:33:52,126,-17,-124
19:33:53,124,-5,-118
19:33:53,124,9,-130
19:33:53,115,14,-140
19:33:53,108,4,-137
19:33:53,112,7,-128
19:33:53,118,5,-129
19:33:53,117,-11,-132
19:33:53,132,-27,-116
19:33:53,139,-20,-112
19:33:53,134,-18,-128
19:33:53,126,-15,-122
19:33:53,120,5,-118
19:33:53,118,17,-133
19:33:53,107,10,-139
19:33:53,111,-2,-129
19:33:53,119,2,-127
19:33:53,123,-4,-129
19:33:53,125,-22,-125
19:33:53,135,-24,-109
19:33:53,138,-16,-113
19:33:54,127,-14,-128
19:33:54,123,-6,-121
19:33:54,120,12,-126
19:33:54,114,18,-142
19:33:54,106,6,-135
19:33:54,114,-1,-127
19:33:54,122,1,-122
19:33:54,122,-12,-131
19:33:54,131,-26,-116
19:33:54,138,-20,-111
19:33:54,135,-13,-128
19:33:54,121,-8,-131
19:33:54,116,6,-120
19:33:54,116,18,-131
19:33:54,108,16,-144
19:33:54,109,-3,-133
19:33:54,121,-6,-123
19:33:54,129,-10,-132
19:33:54,125,-21,-125
19:33:54,135,-27,-111
19:33:55,137,-14,-116
19:33:55,127,-8,-127
19:33:55,118,-5,-131
19:33:55,114,9,-125
19:33:55,115,20,-140
19:33:55,106,10,-139
19:33:55,116,-9,-126
19:33:55,127,-8,-110
19:33:55,130,-14,-132
19:33:55,130,-26,-120
19:33:55,135,-20,-109
19:33:55,135,-8,-126
19:33:55,120,-3,-133
19:33:55,115,4,-126
19:33:55,113,16,-129
19:33:55,112,19,-145
19:33:55,109,-1,-138
19:33:55,122,-13,-118
19:33:55,132,-14,-121
19:33:56,127,-19,-130
19:33:56,131,-24,-111
19:33:56,134,-11,-111
19:33:56,130,-2,-134
19:33:56,115,2,-137
19:33:56,112,8,-123
19:33:56,113,17,-135
19:33:56,109,14,-142
19:33:56,114,-11,-131
19:33:56,129,-17,-114
19:33:56,135,-16,-124
19:33:56,130,-22,-127
19:33:56,131,-19,-108
19:33:56,131,-2,-119
19:33:56,121,5,-136
19:33:56,110,5,-135
19:33:56,111,8,-126
19:33:56,116,14,-138
19:33:56,110,3,-136
19:33:56,121,-16,-120
19:33:57,133,-20,-112
19:33:57,134,-16,-121
19:33:57,129,-24,-118
19:33:57,128,-9,-112
19:33:57,128,3,-131
19:33:57,114,8,-141
19:33:57,109,7,-135
19:33:57,112,13,-128
19:33:57,115,10,-142
19:33:57,114,-9,-130
19:33:57,129,-24,-115
19:33:57,138,-19,-117
19:33:57,132,-20,-126
19:33:57,129,-17,-118
19:33:57,126,3,-114
19:33:57,120,12,-138
19:33:57,107,9,-135
19:33:57,111,3,-128
19:33:57,115,9,-130
19:33:57,114,2,-139
19:33:58,120,-18,-126
19:33:58,134,-23,-113
19:33:58,135,-15,-117
19:33:58,128,-19,-128
19:33:58,126,-9,-114
19:33:58,124,8,-125
19:33:58,116,13,-143
19:33:58,108,4,-134
19:33:58,112,6,-125
19:33:58,118,5,-134
19:33:58,115,-7,-134
19:33:58,130,-26,-114
19:33:58,139,-22,-111
19:33:58,135,-17,-127
19:33:58,126,-16,-128
19:33:58,121,1,-112
19:33:58,120,15,-129
19:33:58,108,14,-140
19:33:58,109,1,-132
19:33:59,117,4,-119
19:33:59,122,-2,-134
19:33:59,122,-18,-124
19:33:59,133,-28,-109
19:33:59,138,-17,-117
19:33:59,130,-16,-128
19:33:59,124,-9,-121
19:33:59,120,8,-124
19:33:59,116,18,-144
19:33:59,106,9,-138
19:33:59,113,-1,-124
19:33:59,121,0,-128
19:33:59,121,-7,-130
19:33:59,129,-25,-122
19:33:59,138,-24,-107
19:33:59,137,-15,-121
19:33:59,124,-13,-127
19:33:59,120,-1,-117
19:33:59,118,16,-127
19:33:59,112,18,-144
19:34:00,108,2,-134
19:34:00,118,-4,-121
19:34:00,125,-6,-124
19:34:00,123,-16,-130
19:34:00,133,-28,-111
19:34:00,138,-17,-111
19:34:00,133,-12,-132
19:34:00,120,-8,-130
19:34:00,115,8,-119
19:34:00,116,19,-137
19:34:00,107,13,-143
19:34:00,113,-4,-128
19:34:00,123,-6,-114
19:34:00,128,-11,-132
19:34:00,128,-24,-120
19:34:00,136,-25,-106
19:34:00,138,-13,-121
19:34:00,125,-8,-130
19:34:00,119,-1,-129
19:34:00,115,13,-126
19:34:01,114,17,-142
19:34:01,106,5,-138
19:34:01,118,-9,-122
19:34:01,129,-11,-123
19:34:01,128,-16,-133
19:34:01,130,-26,-120
19:34:01,134,-16,-111
19:34:01,132,-4,-128
19:34:01,117,-1,-133
19:34:01,113,4,-127
19:34:01,113,17,-126
19:34:01,112,16,-148
19:34:01,111,-4,-131
19:34:01,125,-15,-118
19:34:01,133,-16,-124
19:34:01,129,-20,-125
19:34:01,134,-24,-113
19:34:01,134,-9,-117
19:34:01,128,0,-132
19:34:01,113,3,-134
19:34:02,111,7,-123
19:34:02,114,17,-136
19:34:02,111,10,-140
19:34:02,116,-11,-134
19:34:02,130,-20,-108
19:34:02,135,-16,-123
19:34:02,128,-21,-121
19:34:02,130,-15,-112
19:34:02,130,0,-120
19:34:02,121,8,-141
19:34:02,109,6,-136
19:34:02,110,9,-115
19:34:02,114,12,-136
19:34:02,112,2,-139
19:34:02,123,-19,-116
19:34:02,135,-21,-114
19:34:02,135,-19,-125
19:34:02,129,-20,-124
19:34:02,127,-10,-113
19:34:03,125,8,-128
19:34:03,114,12,-138
19:34:03,108,5,-136
19:34:03,114,5,-118
19:34:03,117,7,-133
19:34:03,115,-7,-133
19:34:03,128,-24,-109
19:34:03,137,-20,-116
19:34:03,133,-16,-128
19:34:03,127,-18,-123
19:34:03,122,1,-115
19:34:03,120,14,-134
19:34:03,109,14,-142
19:34:03,109,3,-135
19:34:03,117,4,-119
19:34:03,121,0,-135
19:34:03,120,-14,-128
19:34:03,132,-25,-112
19:34:03,138,-19,-115
19:34:03,132,-15,-126
19:34:04,125,-13,-123
19:34:04,120,6,-119
19:34:04,117,17,-137
19:34:04,105,12,-139
19:34:04,111,-3,-132
19:34:04,121,-1,-116
19:34:04,124,-6,-134
19:34:04,126,-22,-124
19:34:04,135,-23,-105
19:34:04,136,-14,-119
19:34:04,126,-10,-130
19:34:04,120,-4,-126
19:34:04,116,14,-122
19:34:04,114,18,-143
19:34:04,107,6,-141
19:34:04,116,-6,-128
19:34:04,126,-7,-127
19:34:04,127,-12,-135
19:34:04,131,-26,-119
19:34:04,137,-21,-107
19:34:05,136,-11,-122
19:34:05,120,-5,-131
19:34:05,115,3,-130
19:34:05,114,16,-136
19:34:05,111,19,-144
19:34:05,107,2,-135
19:34:05,119,-11,-117
19:34:05,131,-14,-124
19:34:05,129,-17,-127
19:34:05,131,-26,-116
19:34:05,134,-12,-114
19:34:05,130,-3,-130
19:34:05,116,-1,-133
19:34:05,113,4,-123
19:34:05,115,16,-129
19:34:05,112,13,-141
19:34:05,113,-5,-136
19:34:05,125,-16,-106
19:34:05,133,-15,-123
19:34:06,129,-20,-124
19:34:06,133,-20,-116
19:34:06,133,-7,-114
19:34:06,125,5,-136
19:34:06,112,3,-136
19:34:06,111,7,-129
19:34:06,115,14,-135
19:34:06,111,9,-140
19:34:06,117,-14,-127
19:34:06,131,-20,-116
19:34:06,136,-18,-119
19:34:06,129,-21,-124
19:34:06,131,-17,-110
19:34:06,130,2,-121
19:34:06,121,8,-138
19:34:06,109,4,-132
19:34:06,110,8,-127
19:34:06,115,13,-136
19:34:06,111,0,-137
19:34:06,123,-18,-124
19:34:07,136,-21,-112
19:34:07,135,-18,-128
19:34:07,129,-21,-121
19:34:07,127,-10,-113
19:34:07,127,5,-124
19:34:07,116,9,-141
